"Pokémon","Objeto","Habilidad","Teratipo","Torneo","Nombre","cluster","Movimiento"
"Farigiraf","Throat Spray","Armor Tail","Fairy","regional-melbourne","Andy Brophy","American Balance","Protect"
"Farigiraf","Throat Spray","Armor Tail","Fairy","regional-melbourne","Andy Brophy","American Balance","Hyper Voice"
"Farigiraf","Throat Spray","Armor Tail","Fairy","regional-melbourne","Andy Brophy","American Balance","Psychic"
"Farigiraf","Throat Spray","Armor Tail","Fairy","regional-melbourne","Andy Brophy","American Balance","Trick Room"
"Ursaluna-Bloodmoon","Silk Scarf","Mind´s Eye","Normal","regional-melbourne","Andy Brophy","American Balance","Protect"
"Ursaluna-Bloodmoon","Silk Scarf","Mind´s Eye","Normal","regional-melbourne","Andy Brophy","American Balance","Blood Moon"
"Ursaluna-Bloodmoon","Silk Scarf","Mind´s Eye","Normal","regional-melbourne","Andy Brophy","American Balance","Hyper Voice"
"Ursaluna-Bloodmoon","Silk Scarf","Mind´s Eye","Normal","regional-melbourne","Andy Brophy","American Balance","Earth Power"
"Incineroar","Sitrus Berry","Intimidate","Grass","regional-melbourne","Andy Brophy","American Balance","Flare Blitz"
"Incineroar","Sitrus Berry","Intimidate","Grass","regional-melbourne","Andy Brophy","American Balance","Knock Off"
"Incineroar","Sitrus Berry","Intimidate","Grass","regional-melbourne","Andy Brophy","American Balance","Parting Shot"
"Incineroar","Sitrus Berry","Intimidate","Grass","regional-melbourne","Andy Brophy","American Balance","Fake Out"
"Rillaboom","Assault Vest","Grassy Surge","Poison","regional-melbourne","Andy Brophy","American Balance","Wood Hammer"
"Rillaboom","Assault Vest","Grassy Surge","Poison","regional-melbourne","Andy Brophy","American Balance","Grassy Glide"
"Rillaboom","Assault Vest","Grassy Surge","Poison","regional-melbourne","Andy Brophy","American Balance","U-turn"
"Rillaboom","Assault Vest","Grassy Surge","Poison","regional-melbourne","Andy Brophy","American Balance","Fake Out"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","regional-melbourne","Andy Brophy","American Balance","Spiky Shield"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","regional-melbourne","Andy Brophy","American Balance","Ivy Cudgel"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","regional-melbourne","Andy Brophy","American Balance","Horn Leech"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","regional-melbourne","Andy Brophy","American Balance","Follow Me"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","regional-melbourne","Andy Brophy","American Balance","Surging Strikes"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","regional-melbourne","Andy Brophy","American Balance","Aqua Jet"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","regional-melbourne","Andy Brophy","American Balance","Close Combat"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","regional-melbourne","Andy Brophy","American Balance","U-turn"
"Farigiraf","Throat Spray","Armor Tail","Fairy","regional-liverpool","Antonio Sánchez","American Balance","Psychic"
"Farigiraf","Throat Spray","Armor Tail","Fairy","regional-liverpool","Antonio Sánchez","American Balance","Hyper Voice"
"Farigiraf","Throat Spray","Armor Tail","Fairy","regional-liverpool","Antonio Sánchez","American Balance","Trick Room"
"Farigiraf","Throat Spray","Armor Tail","Fairy","regional-liverpool","Antonio Sánchez","American Balance","Protect"
