"Pokémon","Objeto","Habilidad","Teratipo","Mov1","Mov2","Mov3","Mov4","Torneo","Nombre","cluster"
"Farigiraf","Throat Spray","Armor Tail","Fairy","Protect","Hyper Voice","Psychic","Trick Room","regional-melbourne","Andy Brophy","American Balance"
"Ursaluna-Bloodmoon","Silk Scarf","Mind´s Eye","Normal","Protect","Blood Moon","Hyper Voice","Earth Power","regional-melbourne","Andy Brophy","American Balance"
"Incineroar","Sitrus Berry","Intimidate","Grass","Flare Blitz","Knock Off","Parting Shot","Fake Out","regional-melbourne","Andy Brophy","American Balance"
"Rillaboom","Assault Vest","Grassy Surge","Poison","Wood Hammer","Grassy Glide","U-turn","Fake Out","regional-melbourne","Andy Brophy","American Balance"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","Spiky Shield","Ivy Cudgel","Horn Leech","Follow Me","regional-melbourne","Andy Brophy","American Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","Surging Strikes","Aqua Jet","Close Combat","U-turn","regional-melbourne","Andy Brophy","American Balance"
"Farigiraf","Throat Spray","Armor Tail","Fairy","Psychic","Hyper Voice","Trick Room","Protect","regional-liverpool","Antonio Sánchez","American Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","Moonblast","Shadow Ball","Calm Mind","Protect","regional-liverpool","Antonio Sánchez","American Balance"
"Rillaboom","Assault Vest","Grassy Surge","Poison","Wood Hammer","Grassy Glide","U-turn","Fake Out","regional-liverpool","Antonio Sánchez","American Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Knock Off","Parting Shot","Fake Out","regional-liverpool","Antonio Sánchez","American Balance"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","Ivy Cudgel","Grassy Glide","Swords Dance","Spiky Shield","regional-liverpool","Antonio Sánchez","American Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","Surging Strikes","Close Combat","U-turn","Aqua Jet","regional-liverpool","Antonio Sánchez","American Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","Shadow Ball","Calm Mind","Moonblast","Protect","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","Ivy Cudgel","Grassy Glide","Spiky Shield","Swords Dance","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance"
"Rillaboom","Assault Vest","Grassy Surge","Poison","Fake Out","Grassy Glide","Wood Hammer","U-turn","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance"
"Farigiraf","Throat Spray","Armor Tail","Fairy","Trick Room","Hyper Voice","Psychic","Protect","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","Surging Strikes","Close Combat","Aqua Jet","U-turn","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Knock Off","Fake Out","Parting Shot","Flare Blitz","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance"
"Farigiraf","Throat Spray","Armor Tail","Fairy","Protect","Trick Room","Hyper Voice","Psychic","regional-knoxville","Jeongbin Pak","American Balance"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","Spiky Shield","Ivy Cudgel","Grassy Glide","Swords Dance","regional-knoxville","Jeongbin Pak","American Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Fake Out","Parting Shot","Knock Off","Flare Blitz","regional-knoxville","Jeongbin Pak","American Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","Close Combat","Surging Strikes","Aqua Jet","U-turn","regional-knoxville","Jeongbin Pak","American Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","Protect","Moonblast","Shadow Ball","Calm Mind","regional-knoxville","Jeongbin Pak","American Balance"
"Rillaboom","Assault Vest","Grassy Surge","Poison","Fake Out","Grassy Glide","Wood Hammer","U-turn","regional-knoxville","Jeongbin Pak","American Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","Surging Strikes","Close Combat","Aqua Jet","U-turn","special-utrecht","Louis Markl","American Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","Moonblast","Shadow Ball","Calm Mind","Protect","special-utrecht","Louis Markl","American Balance"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Grassy Glide","Wood Hammer","U-turn","Fake Out","special-utrecht","Louis Markl","American Balance"
"Farigiraf","Throat Spray","Armor Tail","Fairy","Hyper Voice","Psychic","Trick Room","Protect","special-utrecht","Louis Markl","American Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Parting Shot","Fake Out","Knock Off","special-utrecht","Louis Markl","American Balance"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","Ivy Cudgel","Grassy Glide","Swords Dance","Spiky Shield","special-utrecht","Louis Markl","American Balance"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","Spiky Shield","Ivy Cudgel","Swords Dance","Grassy Glide","special-utrecht","Menelik Collymore","American Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Knock Off","Fake Out","Parting Shot","Flare Blitz","special-utrecht","Menelik Collymore","American Balance"
"Farigiraf","Throat Spray","Armor Tail","Fairy","Protect","Psychic","Hyper Voice","Trick Room","special-utrecht","Menelik Collymore","American Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","Protect","Moonblast","Calm Mind","Shadow Ball","special-utrecht","Menelik Collymore","American Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","Surging Strikes","Close Combat","U-turn","Aqua Jet","special-utrecht","Menelik Collymore","American Balance"
"Rillaboom","Assault Vest","Grassy Surge","Poison","Grassy Glide","Fake Out","U-turn","Wood Hammer","special-utrecht","Menelik Collymore","American Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","Close Combat","Surging Strikes","Aqua Jet","U-turn","special-utrecht","Sven van der Voorden","American Balance"
"Rillaboom","Miracle Seed","Grassy Surge","Fire","Grassy Glide","Fake Out","Wood Hammer","Taunt","special-utrecht","Sven van der Voorden","American Balance"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","Grassy Glide","Ivy Cudgel","Swords Dance","Spiky Shield","special-utrecht","Sven van der Voorden","American Balance"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Electroweb","Thunderclap","Draco Meteor","Snarl","special-utrecht","Sven van der Voorden","American Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Fake Out","Will-O-Wisp","Parting Shot","special-utrecht","Sven van der Voorden","American Balance"
"Landorus","Life Orb","Sheer Force","Steel","Earth Power","Sludge Bomb","Substitute","Protect","special-utrecht","Sven van der Voorden","American Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","Surging Strikes","Close Combat","Aqua Jet","U-turn","regional-charlotte","Wolfe Glick","American Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Fake Out","Knock Off","Flare Blitz","Parting Shot","regional-charlotte","Wolfe Glick","American Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","Protect","Shadow Ball","Moonblast","Calm Mind","regional-charlotte","Wolfe Glick","American Balance"
"Farigiraf","Throat Spray","Armor Tail","Fairy","Protect","Psychic","Hyper Voice","Trick Room","regional-charlotte","Wolfe Glick","American Balance"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","Spiky Shield","Ivy Cudgel","Swords Dance","Grassy Glide","regional-charlotte","Wolfe Glick","American Balance"
"Rillaboom","Assault Vest","Grassy Surge","Poison","Fake Out","Wood Hammer","U-turn","Grassy Glide","regional-charlotte","Wolfe Glick","American Balance"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Wood Hammer","Grassy Glide","Fake Out","U-turn","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","striker","American Balance"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Wood Hammer","Grassy Glide","Fake Out","U-turn","Pokemon Day Week x Saturday Night Rumble #41","striker","American Balance"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","Ivy Cudgel","Grassy Glide","Swords Dance","Spiky Shield","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","striker","American Balance"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","Ivy Cudgel","Grassy Glide","Swords Dance","Spiky Shield","Pokemon Day Week x Saturday Night Rumble #41","striker","American Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Knock Off","Fake Out","Parting Shot","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","striker","American Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Knock Off","Fake Out","Parting Shot","Pokemon Day Week x Saturday Night Rumble #41","striker","American Balance"
"Glimmora","Power Herb","Toxic Debris","Grass","Meteor Beam","Sludge Bomb","Earth Power","Spiky Shield","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","striker","American Balance"
