Pokemon_1,Objeto_1,Habilidad_1,Teratipo_1,Mov1_1,Mov2_1,Mov3_1,Mov4_1,Pokemon_2,Objeto_2,Habilidad_2,Teratipo_2,Mov1_2,Mov2_2,Mov3_2,Mov4_2,Pokemon_3,Objeto_3,Habilidad_3,Teratipo_3,Mov1_3,Mov2_3,Mov3_3,Mov4_3,Pokemon_4,Objeto_4,Habilidad_4,Teratipo_4,Mov1_4,Mov2_4,Mov3_4,Mov4_4,Pokemon_5,Objeto_5,Habilidad_5,Teratipo_5,Mov1_5,Mov2_5,Mov3_5,Mov4_5,Pokemon_6,Objeto_6,Habilidad_6,Teratipo_6,Mov1_6,Mov2_6,Mov3_6,Mov4_6
Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Knock Off,Flare Blitz,Parting Shot,Flutter Mane,Booster Energy,Protosynthesis,Grass,Protect,Shadow Ball,Moonblast,Calm Mind,Farigiraf,Throat Spray,Armor Tail,Fairy,Protect,Psychic,Hyper Voice,Trick Room,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Spiky Shield,Ivy Cudgel,Swords Dance,Grassy Glide,Rillaboom,Assault Vest,Grassy Surge,Poison,Fake Out,Wood Hammer,U-turn,Grassy Glide
Iron Hands,Clear Amulet,Quark Drive,Grass,Fake Out,Wild Charge,Close Combat,Heavy Slam,Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Tailwind,Icy Wind,Taunt,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Protect,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Imprison,Trick Room,Dazzling Gleam,Helping Hand,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Hyper Voice,Blood Moon,Earth Power,Protect,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Wood Hammer,Follow Me,Spiky Shield
Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Howl,Burning Bulwark,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,Grassy Glide,Fake Out,High Horsepower,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Icicle Crash,Sucker Punch,Sacred Sword,Protect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Shadow Ball,Dazzling Gleam,Moonblast,Perish Song,Kingambit,Black Glasses,Defiant,Dark,Kowtow Cleave,Sucker Punch,Swords Dance,Protect
Tornadus,Covert Cloak,Prankster,Ghost,Air Slash,Tailwind,Taunt,Protect,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Hyper Voice,Earth Power,Blood Moon,Protect,Urshifu,Choice Band,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Icy Wind,Farigiraf,Throat Spray,Armor Tail,Water,Hyper Voice,Psyshock,Helping Hand,Trick Room,Arcanine-Hisui,Assault Vest,Intimidate,Dark,Flare Blitz,Rock Slide,Extreme Speed,Snarl
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Spiky Shield,Horn Leech,Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Earth Power,Spiky Shield,Sludge Bomb,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Dazzling Gleam,Protect,Moonblast,Icy Wind,Chi-Yu,Choice Specs,Beads of Ruin,Fire,Heat Wave,Dark Pulse,Snarl,Overheat,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Detect,Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Tailwind,Protect,Sunny Day
Urshifu,Choice Band,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,U-turn,Entei,Assault Vest,Inner Focus,Fairy,Sacred Fire,Extreme Speed,Stomping Tantrum,Tera Blast,Gholdengo,Metal Coat,Good as Gold,Steel,Make It Rain,Shadow Ball,Nasty Plot,Protect,Smeargle,Focus Sash,Moody,Ghost,Spore,Follow Me,Wide Guard,Fake Out,Ursaluna-Bloodmoon,Throat Spray,Mind’s Eye,Normal,Hyper Voice,Blood Moon,Earth Power,Protect,Tornadus,Covert Cloak,Prankster,Flying,Bleakwind Storm,Tailwind,Grass Knot,Taunt
Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,U-turn,Ice Spinner,Iron Crown,Booster Energy,Quark Drive,Water,Expanding Force,Tachyon Cutter,Tera Blast,Protect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Protect,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Follow Me,Helping Hand,Trick Room,Dazzling Gleam,Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Tailwind,Rain Dance,Icy Wind
Raging Bolt,Assault Vest,Protosynthesis,Electric,Thunderbolt,Thunderclap,Draco Meteor,Snarl,Amoonguss,Sitrus Berry,Regenerator,Fairy,Protect,Rage Powder,Spore,Pollen Puff,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me,Roaring Moon,Booster Energy,Protosynthesis,Flying,Knock Off,Dragon Dance,Acrobatics,Protect,Incineroar,Figy Berry,Intimidate,Grass,Fake Out,Parting Shot,Knock Off,Flare Blitz,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Icy Wind
Indeedee-F,Psychic Seed,Psychic Surge,Fairy,Dazzling Gleam,Follow Me,Helping Hand,Trick Room,Urshifu,Choice Band,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,U-turn,Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Tailwind,Protect,Icy Wind,Ogerpon,Focus Sash,Defiant,Grass,Ivy Cudgel,Spiky Shield,Follow Me,Superpower,Iron Crown,Booster Energy,Quark Drive,Psychic,Tachyon Cutter,Expanding Force,Focus Blast,Protect,Ursaluna,Flame Orb,Guts,Ghost,Facade,Headlong Rush,Earthquake,Protect
Incineroar,Assault Vest,Intimidate,Grass,Fake Out,Flare Blitz,Knock Off,U-turn,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Detect,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Earth Power,Hyper Voice,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Icy Wind,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Psychic,Dazzling Gleam,Trick Room,Helping Hand
