Torneo,Tipo_Torneo,Nombre,Nacionalidad,0_Pokémon,0_Objeto,0_Habilidad,0_Teratipo,0_Mov1,0_Mov2,0_Mov3,0_Mov4,1_Pokémon,1_Objeto,1_Habilidad,1_Teratipo,1_Mov1,1_Mov2,1_Mov3,1_Mov4,2_Pokémon,2_Objeto,2_Habilidad,2_Teratipo,2_Mov1,2_Mov2,2_Mov3,2_Mov4,3_Pokémon,3_Objeto,3_Habilidad,3_Teratipo,3_Mov1,3_Mov2,3_Mov3,3_Mov4,4_Pokémon,4_Objeto,4_Habilidad,4_Teratipo,4_Mov1,4_Mov2,4_Mov3,4_Mov4,5_Pokémon,5_Objeto,5_Habilidad,5_Teratipo,5_Mov1,5_Mov2,5_Mov3,5_Mov4,Ronda_1,Resultado_1,Ronda_2,Resultado_2,Ronda_3,Resultado_3,Ronda_4,Resultado_4,Ronda_5,Resultado_5,Ronda_6,Resultado_6,Ronda_7,Resultado_7,Ronda_8,Resultado_8,Ronda_9,Resultado_9,Ronda_10,Resultado_10,Ronda_11,Resultado_11,Ronda_12,Resultado_12,Ronda_13,Resultado_13,Ronda_14,Resultado_14,Ronda_15,Resultado_15,Ronda_16,Resultado_16,Ronda_17,Resultado_17,Enfrentamientos,Equipo,Wins,Losses
special-utrecht,Oficial,Nikhil Reddy,NL,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,- Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Ninetales-Alola, Light Clay,Snow Warning,Fire,Blizzard,Moonblast,Aurora Veil,Helping Hand,Arcanine-Hisui,Choice Band,Intimidate,Ghost,Flare Blitz,Rock Slide,Head Smash,Extreme Speed,Articuno, Choice Specs,Snow Cloak,Ice,Blizzard,Ice Beam,Freeze-Dry,Sheer Cold,Landorus, Life Orb,Sheer Force,Steel,Earth Power,Sludge Bomb,Substitute,Protect,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Electroweb,Draco Meteor,Thunderclap,Snarl,Elias Schüller ,Win,Jared Bilton ,Win,Florian Hoffmann ,Win,Francesco Deiana ,Win,Víctor García Quintana ,Win,Yvar Vlieger ,Loss,Victor Jimenez Coll ,Win,Akram Hamdi ,Win,Iker Rodrigo ,Win,Yvar Vlieger ,Win,Alex DellaPasqua ,Win,Aurélien Soula ,Loss,Emir Abdulovski ,Loss,Domenico Vaccariello ,Win,Emir Abdulovski ,Win,Riccardo Stellini ,Win,Aurélien Soula ,Win,https://standings.stalruth.dev/2024/special-utrecht/masters/114,https://pokepast.es/c2ca670d11196737,14,3
special-utrecht,Oficial,Aurélien Soula,FR,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,- Ivy Cudgel,Follow Me,Wood Hammer,Spiky Shield,Urshifu, Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Detect,Close Combat,Rillaboom,Miracle Seed,Grassy Surge,Steel,Fake Out,Protect,Grassy Glide,Wood Hammer,Flutter Mane, Booster Energy,Protosynthesis,Fairy,Dazzling Gleam,Protect,Icy Wind,Moonblast,Raging Bolt,Assault Vest,Protosynthesis,Electric,Snarl,Electroweb,Dragon Pulse,Thunderclap,Landorus, Life Orb,Sheer Force,Poison,Earth Power,Taunt,Sludge Bomb,Protect,Lorenzo Angelicola ,Win,Quilliano van Hal ,Win,Sergio Pascual Pino ,Win,Armand Lefebvre ,Win,Emanuele quagliani ,Win,Laura Schmenk ,Win,Francesco Pio Pero ,Win,Leonardo Bonanomi ,Win,Riccardo Stellini ,Win,Javier Señorena ,Win,Riccardo Stellini ,Win,Nikhil Reddy ,Win,Michael Kelsch ,Win,Salvatore Rega ,Win,Iker Rodrigo ,Win,Michael Kelsch ,Win,Nikhil Reddy ,Loss,https://standings.stalruth.dev/2024/special-utrecht/masters/353,https://pokepast.es/af357217a11fcf0a,16,1
special-utrecht,Oficial,Michael Kelsch,DE,Flutter Mane, Booster Energy,Protosynthesis,Fairy,Moonblast,Icy Wind,Taunt,Protect,Urshifu, Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Protect,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Dragon Pulse,Thunderclap,Snarl,Electroweb,Landorus, Life Orb,Sheer Force,Steel,Earth Power,Sludge Bomb,Substitute,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,- Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Entei, Choice Band,Inner Focus,Normal,Sacred Fire,Extreme Speed,Stomping Tantrum,Flare Blitz,Alessandro Gulino ,Win,Bowei Zhang ,Loss,Waiky Cheung ,Win,Simone Di felici ,Win,Oliver Gausden ,Win,Jan Altisent Brescó ,Win,Jorijn Raijmakers ,Win,Anthony MAGAIL ,Win,Alex DellaPasqua ,Win,Rafael Sadowski ,Win,Rayan GUEZI ,Win,Adam Cherfaoui ,Win,Aurélien Soula ,Loss,Emir Abdulovski ,Loss,Salvatore Rega ,Win,Aurélien Soula ,Loss,,,https://standings.stalruth.dev/2024/special-utrecht/masters/159,https://pokepast.es/35d68bb06fc6893b,12,4
special-utrecht,Oficial,Riccardo Stellini,IT,Tornadus, Rocky Helmet,Prankster,Steel,Bleakwind Storm,Protect,Tailwind,Taunt,Iron Hands, Clear Amulet,Quark Drive,Grass,Close Combat,Heavy Slam,Fake Out,Wild Charge,Ursaluna-Bloodmoon,Life Orb,Mindâ€™s Eye,Normal,- Blood Moon,Earth Power,Hyper Voice,Protect,Urshifu, Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Farigiraf, Sitrus Berry,Armor Tail,Fire,Psychic,Helping Hand,Trick Room,Dazzling Gleam,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,- Ivy Cudgel,Wood Hammer,Follow Me,Spiky Shield,Rahim Farzan ,Win,Leonardo Beninato ,Win,Rhys Johnson ,Win,Ranieri Calderari ,Win,Livio Sandberg ,Win,Leon Hudert ,Win,Kevin Salvetto ,Win,Yvar Vlieger ,Win,Aurélien Soula ,Loss,Alex Gómez Berna ,Win,Aurélien Soula ,Loss,Louis Markl ,Win,Víctor Medina ,Loss,Kylian Duquesne ,Win,Rayan GUEZI ,Win,Nikhil Reddy ,Loss,,,https://standings.stalruth.dev/2024/special-utrecht/masters/463,https://pokepast.es/bc08416354eb9b3b,12,4
special-utrecht,Oficial,Rayan GUEZI,FR,Chi-Yu, Choice Specs,Beads of Ruin,Ghost,Heat Wave,Snarl,Overheat,Dark Pulse,Glimmora, Power Herb,Toxic Debris,Grass,Spiky Shield,Earth Power,Meteor Beam,Sludge Bomb,Tornadus, Covert Cloak,Prankster,Ghost,Tailwind,Bleakwind Storm,Taunt,Sunny Day,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Follow Me,Horn Leech,Ivy Cudgel,Flutter Mane, Booster Energy,Protosynthesis,Fairy,Moonblast,Protect,Dazzling Gleam,Icy Wind,Urshifu, Focus Sash,Unseen Fist,Dark,Detect,Wicked Blow,Close Combat,Sucker Punch,Jorijn Raijmakers ,Win,Carlos Caño Bermúdez ,Win,Andreas Erdmann ,Loss,Andrea Gozzi ,Win,Jamin Kauf ,Win,Georg Lang ,Win,David Carrasco ,Win,Emanuele quagliani ,Win,Shengyu Wang ,Win,Emir Abdulovski ,Win,Michael Kelsch ,Loss,Rafael Sadowski ,Win,Sven van der Voorden ,Win,Víctor Medina ,Win,Riccardo Stellini ,Loss,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/459,https://pokepast.es/5533c0d60c728478,12,3
special-utrecht,Oficial,Emir Abdulovski,NL,Landorus, Life Orb,Sheer Force,Steel,Earth Power,Sludge Bomb,Substitute,Protect,Arcanine-Hisui,Choice Band,Intimidate,Ghost,Flare Blitz,Rock Slide,Extreme Speed,Head Smash,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,- Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Articuno, Choice Specs,Snow Cloak,Ice,Blizzard,Ice Beam,Freeze-Dry,Sheer Cold,Ninetales-Alola, Light Clay,Snow Warning,Fire,Blizzard,Moonblast,Aurora Veil,Helping Hand,Raging Bolt,Assault Vest,Protosynthesis,Fairy,- Thunderclap,Draco Meteor,Electroweb,Snarl,Roberto Ceglia ,Win,James Lane ,Win,Adrian Barquero Rodriguez ,Win,Leon Hudert ,Loss,Sam Pickering ,Win,Andres Escobosa ,Win,Laura Schmenk ,Win,Bas van der Heijden ,Win,Emilio Dominguez ,Win,Rayan GUEZI ,Loss,Karl Akpovi ,Win,Domenico Vaccariello ,Win,Nikhil Reddy ,Win,Michael Kelsch ,Win,Nikhil Reddy ,Loss,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/377,https://pokepast.es/4d44dc1c63cd88a5,12,3
special-utrecht,Oficial,Salvatore Rega,IT,Dragonite, Choice Band,Inner Focus,Normal,Stomping Tantrum,Outrage,Extreme Speed,Iron Head,Chien-Pao, Focus Sash,Sword of Ruin,Ghost,Protect,Icicle Crash,Sucker Punch,Sacred Sword,Chi-Yu, Choice Scarf,Beads of Ruin,Ghost,Heat Wave,Dark Pulse,Overheat,Snarl,Tatsugiri-Stretchy, Sitrus Berry,Commander,Steel,Muddy Water,Draco Meteor,Helping Hand,Protect,Dondozo, Rocky Helmet,Unaware,Grass,Protect,Wave Crash,Earthquake,Order Up,Flutter Mane, Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Thunderbolt,Chiara Galleani ,Win,Max Marczak ,Win,Louis Markl ,Loss,Jan Altisent Brescó ,Loss,Killian Morice ,Win,Jorge Hernández Acosta ,Win,Robbin van den Eijnde ,Win,Regino Domínguez ,Win,Leon Hudert ,Win,Oliver Gausden ,Win,Hengyue Zhang ,Win,Kylian Duquesne ,Win,Iker Rodrigo ,Win,Aurélien Soula ,Loss,Michael Kelsch ,Loss,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/325,https://pokepast.es/b47c258e4c4237c8,11,4
special-utrecht,Oficial,Iker Rodrigo,ES,Incineroar, Sitrus Berry,Intimidate,Ghost,Flare Blitz,Will-O-Wisp,Parting Shot,Fake Out,Raging Bolt,Assault Vest,Protosynthesis,Fairy,- Thunderclap,Snarl,Electroweb,Dragon Pulse,Flutter Mane, Booster Energy,Protosynthesis,Fairy,Moonblast,Icy Wind,Taunt,Protect,Urshifu, Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Landorus, Life Orb,Sheer Force,Steel,Earth Power,Sludge Bomb,Substitute,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,- Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Laura Kaiser ,Win,Roberto Parente ,Loss,Naomi Nesselaar ,Win,Helmy BEN MESSAOUD ,Win,Alexander Kampf ,Win,Rani De Schoenmacker ,Win,Alberto Cañuelo Gómez ,Win,Paul Ender ,Win,Nikhil Reddy ,Loss,Eric Rios ,Win,Pierre Coste ,Win,Javier Señorena ,Win,Salvatore Rega ,Loss,Leonardo Bonanomi ,Win,Aurélien Soula ,Loss,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/12,https://pokepast.es/2a27eb16e4e73b27,11,4
special-utrecht,Oficial,Oliver Gausden,UK,Gholdengo, Sitrus Berry,Good as Gold,Dragon,Make It Rain,Shadow Ball,Protect,Nasty Plot,Iron Boulder,Choice Band,Quark Drive,Rock,- Mighty Cleave,Close Combat,Psycho Cut,Earthquake,Okidogi,Assault Vest,Guard Dog,Water,Gunk Shot,Drain Punch,High Horsepower,Upper Hand,Roaring Moon, Booster Energy,Protosynthesis,Flying,Knock Off,Acrobatics,Tailwind,Protect,Grimmsnarl, Light Clay,Prankster,Grass,Spirit Break,Thunder Wave,Reflect,Light Screen,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,- Ivy Cudgel,Horn Leech,Swords Dance,Spiky Shield,Simone Di felici ,Win,Joan Garcia ,Loss,Alessandro Caliri ,Win,Niels de Jonge ,Win,Michael Kelsch ,Loss,Marco Zoso ,Win,Jesse van den Kerkhof ,Win,Giacomo Tenti ,Win,Alberto Cañuelo Gómez ,Win,Salvatore Rega ,Loss,Kevin Salvetto ,Win,Giulio Tarlao ,Win,Oliver Marek ,Win,Carlos Cabal ,Win,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/592,https://pokepast.es/e81aaabcf3d6836a,11,3
special-utrecht,Oficial,Víctor Medina,ES,Flutter Mane, Booster Energy,Protosynthesis,Fairy,Moonblast,Taunt,Icy Wind,Protect,Incineroar, Sitrus Berry,Intimidate,Ghost,Fake Out,Flare Blitz,Parting Shot,Will-O-Wisp,Raging Bolt,Assault Vest,Protosynthesis,Fairy,- Thunderclap,Dragon Pulse,Electroweb,Snarl,Landorus, Life Orb,Sheer Force,Steel,Earth Power,Sludge Bomb,Substitute,Protect,Urshifu, Focus Sash,Unseen Fist,Dark,Close Combat,Wicked Blow,Sucker Punch,Detect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,- Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Ragner Meinen ,Loss,Stefan Gleibs ,Win,Javier López Rodríguez de Guzmán ,Win,Pablo Gallardo Hiraldo ,Loss,Julia van Oudenaarde ,Win,Nick Holmer ,Win,Ioannis Baziotis ,Win,Yoel Ramirez Pulido ,Win,Alessandro Avino ,Win,Francesco Deiana ,Win,Bowei Zhang ,Win,Alex Gómez Berna ,Win,Riccardo Stellini ,Win,Rayan GUEZI ,Loss,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/368,https://pokepast.es/c058989e1e85a3ca,11,3
